Designator,Mid X,Mid Y,Rotation,Layer
A1,130.48,-92.48,90.0,bottom
C1,203.336839,-79.560892,0.0,bottom
C2,183.7,-91.7125,270.0,bottom
C3,186.0125,-100.7,0.0,bottom
C4,148.311631,-56.615545,90.0,bottom
C5,146.561631,-56.615545,90.0,bottom
C6,149.7625,-63.7,0.0,bottom
C7,172.5,-95.8625,270.0,bottom
C8,193.814433,-98.40037,180.0,bottom
C9,155.0,-67.3625,90.0,bottom
D1,184.8,-88.55,180.0,bottom
D2,166.65,-88.45,0.0,bottom
D3,160.45,-95.35,270.0,bottom
D4,152.2,-58.3,180.0,bottom
J1,206.925,-81.02,0.0,bottom
J2,176.5,-99.18,180.0,bottom
J3,152.33,-55.125,90.0,bottom
J4,126.68,-104.425,270.0,top
Q1,205.4,-88.53,90.0,bottom
Q2,200.59,-88.5,90.0,bottom
Q3,196.17,-94.1,0.0,bottom
R1,204.498986,-81.6486,270.0,bottom
R10,198.45,-97.45,90.0,bottom
R11,198.85,-100.85,90.0,bottom
R12,182.0,-91.1975,270.0,bottom
R13,162.2,-94.2525,270.0,bottom
R14,169.66,-96.7475,270.0,bottom
R15,169.65,-93.7475,270.0,bottom
R16,186.5025,-102.75,180.0,bottom
R17,186.4025,-104.05,180.0,bottom
R18,188.2,-105.3,0.0,bottom
R19,188.8,-102.1,90.0,bottom
R2,202.413375,-81.9,270.0,bottom
R20,183.7,-100.1,270.0,bottom
R21,180.55,-100.7,0.0,bottom
R22,150.8,-61.4475,270.0,bottom
R23,148.5,-61.45,90.0,bottom
R3,199.95,-81.5525,90.0,bottom
R4,206.0345,-92.3825,90.0,bottom
R5,200.9845,-92.3825,90.0,bottom
R6,197.3,-90.75,0.0,bottom
R7,199.0,-81.5525,90.0,bottom
R8,194.9975,-90.75,0.0,bottom
R9,197.5,-97.4,270.0,bottom
RV3,172.75,-84.675,90.0,top
RV4,190.75,-84.7,90.0,top
SW1,163.75,-62.75,90.0,top
SW2,181.75,-62.75,90.0,top
SW3,199.75,-62.75,90.0,top
U1,165.905,-94.7,90.0,bottom
U2,194.0,-102.085,0.0,bottom
U3,149.8,-67.655,180.0,bottom
U4,129.85,-70.49,180.0,top
U5,130.15,-53.76,270.0,top
VR1,203.4945,-98.6,180.0,bottom
VR2,189.5,-95.23,180.0,bottom
